# JSsniper patterns  —  category<TAB>name<TAB>regex
# Compiled with MULTILINE only; add (?i) inline where case-insensitivity is wanted.
# --- API keys & access tokens (specific, high-confidence formats) ---
api_keys	aws_access_key	\b(?:AKIA|ASIA|AROA|AIDA|AGPA|ANPA|ANVA|AIPA)[A-Z0-9]{16}\b
api_keys	aws_secret_key	(?i)aws_?secret_?access_?key["'\s]*[=:]["'\s]*([A-Za-z0-9/+]{40})
api_keys	google_api_key	\bAIza[0-9A-Za-z\-_]{35}\b
api_keys	google_oauth	\bya29\.[0-9A-Za-z\-_]{20,}\b
api_keys	gcp_service_account	"type"\s*:\s*"service_account"
api_keys	github_token	\bgh[pousr]_[A-Za-z0-9]{36,255}\b
api_keys	github_fine_pat	\bgithub_pat_[A-Za-z0-9_]{82}\b
api_keys	gitlab_pat	\bglpat-[A-Za-z0-9\-_]{20}\b
api_keys	slack_token	\bxox[baprs]-[0-9A-Za-z-]{10,48}\b
api_keys	slack_webhook	https://hooks\.slack\.com/services/[A-Za-z0-9/]+
api_keys	stripe_secret	\b(?:sk|rk)_(?:live|test)_[0-9a-zA-Z]{16,}\b
api_keys	stripe_public	\bpk_(?:live|test)_[0-9a-zA-Z]{16,}\b
api_keys	twilio_sid	\bAC[a-z0-9]{32}\b
api_keys	twilio_key	\bSK[a-z0-9]{32}\b
api_keys	sendgrid	\bSG\.[A-Za-z0-9_\-]{22}\.[A-Za-z0-9_\-]{43}\b
api_keys	mailgun	\bkey-[0-9a-zA-Z]{32}\b
api_keys	mailchimp	\b[0-9a-f]{32}-us[0-9]{1,2}\b
api_keys	npm_token	\bnpm_[A-Za-z0-9]{36}\b
api_keys	square	\bsq0[a-z]{3}-[0-9A-Za-z\-_]{22,43}\b
api_keys	openai	\bsk-(?:proj-)?[A-Za-z0-9_\-]{20,}T3BlbkFJ[A-Za-z0-9_\-]{20,}\b
api_keys	algolia_admin	(?i)algolia[_-]?(?:admin)?[_-]?key["'\s]*[=:]["'\s]*([A-Za-z0-9]{32})
api_keys	jwt	\beyJ[A-Za-z0-9_-]{8,}\.eyJ[A-Za-z0-9_-]{8,}\.[A-Za-z0-9_-]{8,}\b
api_keys	generic_api_key	(?i)(?:api[_-]?key|apikey|x-api-key|client[_-]?secret|access[_-]?token|auth[_-]?token)["'\s]*[=:]["'\s]*["']?([A-Za-z0-9_\-]{16,})["']?
api_keys	bearer_token	(?i)bearer\s+([A-Za-z0-9_\-\.=]{20,})
# --- Hardcoded credentials & secrets ---
